,TOTAL IVG 2022,taux de recours(p 1000 femmes de 15 à 49 ans)** 2022,TOTAL IVG 2021,taux de recours(p 1000 femmes de 15 à 49 ans)** 2021,TOTAL IVG 2020,taux de recours(p 1000 femmes de 15 à 49 ans)** 2020,TOTAL IVG 2019,taux de recours(p 1000 femmes de 15 à 49 ans)** 2019,TOTAL IVG 2018,taux de recours(p 1000 femmes de 15 à 49 ans)** 2018,TOTAL IVG 2017,taux de recours(p 1000 femmes de 15 à 49 ans)** 2017,TOTAL IVG 2016,taux de recours(p 1000 femmes de 15 à 49 ans)** 2016
Ain,1 828,"13,1",1 599,"11,4",1 579,"11,3",1636,"11,7",1467,"10,5",1430,"10,2",1529,"11,0"
Aisne,1 553,"14,9",1 518,"14,4",1 460,"13,7",1579,"14,9",1564,"14,5",1617,"14,8",1605,"14,5"
Allier,890,"15,2",879,"14,8",840,"14,0",833,"13,9",859,"14,2",821,"13,3",874,"13,9"
Alpes-de-Haute-Provence,605,"20,6",568,"19,2",564,"19,0",634,"21,3",622,"21,1",621,"20,8",572,"19,1"
Hautes-Alpes,499,"19,9",502,"19,7",494,"19,1",501,"18,8",537,"20,0",468,"17,3",561,"20,4"
Alpes-Maritimes,5 255,"23,7",4 782,"21,5",4 707,"21,2",4997,"22,8",4781,"21,5",4709,"21,0",4676,"20,7"
Ardèche,901,"15,1",887,"14,8",948,"15,7",965,"16,0",911,"14,9",830,"13,5",1073,"17,3"
Ardennes,704,"13,7",660,"12,7",601,"11,4",609,"11,5",498,"9,3",568,"10,4",588,"10,5"
Ariège,539,"19,5",522,"18,9",520,"18,8",524,"19,1",440,"15,9",463,"16,6",653,"23,2"
Aube,990,"15,7",910,"14,4",947,"15,0",943,"14,8",958,"15,0",920,"14,4",925,"14,4"
Aude,1 391,"20,1",1 294,"18,6",1 254,"18,0",1376,"19,8",1392,"20,0",1355,"19,3",1318,"18,6"
Aveyron,671,"14,0",599,"12,5",630,"13,1",706,"14,6",650,"13,3",629,"12,7",608,"12,1"
Bouches-du-Rhône,9 995,"22,4",9 476,"21,2",9 497,"21,3",10291,"23,3",10105,"22,6",9818,"21,9",9712,"21,5"
Calvados,1 801,"12,4",1 579,"10,9",1 650,"11,3",1768,"12,2",1757,"12,0",1682,"11,4",1669,"11,3"
Cantal,320,"13,0",292,"11,8",319,"12,9",288,"11,8",315,"12,6",305,"12,0",310,"12,0"
Charente,1 115,"17,3",896,"13,8",1 005,"15,4",1001,"15,3",960,"14,5",934,"14,0",907,"13,5"
Charente-Maritime,1 788,"15,0",1 728,"14,5",1 451,"12,1",1760,"14,9",1643,"13,7",1589,"13,2",1582,"13,1"
Cher,812,"15,2",783,"14,4",711,"12,9",793,"14,5",774,"13,9",734,"12,9",747,"12,9"
Corrèze,636,"15,3",632,"15,1",609,"14,4",572,"13,4",573,"13,2",531,"12,2",568,"12,9"
Corse-du-Sud,613,"19,3",529,"16,3",580,"17,8",617,"18,7",602,"11,3",518,"15,8",520,"15,9"
Haute-Corse,590,"15,1",583,"15,3",593,"15,6",756,"19,9",643,"12,9",697,"18,5",700,"18,7"
Côte-d'Or,1 385,"12,0",1 373,"11,8",1 262,"10,8",1413,"12,1",1329,"10,6",1309,"11,1",1183,"10,0"
Côtes-d'Armor,1 621,"14,9",1 460,"13,4",1 471,"13,5",1516,"14,0",1405,"16,2",1410,"12,8",1342,"12,2"
Creuse,241,"13,3",223,"12,1",219,"11,8",185,"9,8",203,"12,5",199,"10,2",207,"10,5"
Dordogne,1 182,"17,1",1 090,"15,6",1 197,"17,0",1156,"16,5",1157,"13,9",1118,"15,4",1141,"15,5"
Doubs,1 613,"13,8",1 522,"13,0",1 464,"12,5",1533,"13,2",1455,"13,6",1396,"11,9",1427,"12,1"
Drôme,1 639,"15,8",1 490,"14,4",1 525,"14,7",1504,"14,5",1437,"14,9",1393,"13,5",1405,"13,5"
Eure,1 814,"14,9",1 629,"13,3",1 735,"14,1",1815,"14,6",1709,"11,3",1775,"14,0",1757,"13,7"
Eure-et-Loir,1 375,"16,0",1 103,"12,8",1 199,"13,8",1408,"16,3",1298,"18,3",1294,"14,6",1213,"13,5"
Finistère,2 260,"12,7",2 044,"11,5",2 041,"11,5",2088,"11,8",2019,"17,0",1819,"10,1",1850,"10,3"
Gard,2 763,"18,9",2 519,"17,2",2 552,"17,3",2650,"18,0",2618,"17,6",2501,"16,7",2533,"16,9"
Haute-Garonne,5 393,"15,6",5 124,"14,9",5 261,"15,5",5606,"16,7",5170,"15,4",4989,"15,0",4953,"14,9"
Gers,442,"13,4",418,"12,6",386,"11,6",431,"13,0",431,"12,9",402,"11,9",384,"11,3"
Gironde,5 905,"15,5",5 421,"14,4",5 420,"14,5",5837,"15,7",5722,"15,5",5500,"15,0",5317,"14,6"
Hérault,4 911,"18,5",4 634,"17,7",4 595,"17,6",4797,"18,7",4605,"18,0",4463,"17,5",4425,"17,4"
Ille-et-Vilaine,2 945,"11,8",2 638,"10,7",2 729,"11,1",2837,"11,7",2766,"11,4",2594,"10,7",2660,"11,0"
Indre,556,"15,0",491,"13,1",478,"12,6",539,"14,0",476,"12,2",458,"11,5",477,"11,9"
Indre-et-Loire,1 598,"12,3",1 421,"10,9",1 434,"11,0",1422,"11,1",1460,"11,2",1312,"10,0",1267,"9,6"
Isère,3 681,"13,3",3 380,"12,2",3 586,"13,0",3719,"13,5",3711,"13,5",3429,"12,4",3435,"12,3"
Jura,611,"12,7",593,"12,2",603,"12,2",584,"11,9",579,"11,6",564,"11,2",640,"12,5"
Landes,1 230,"15,8",1 042,"13,3",1 057,"13,5",1091,"14,1",1043,"13,4",992,"12,7",987,"12,6"
Loir-et-Cher,786,"13,1",695,"11,5",676,"11,1",744,"12,1",708,"11,3",640,"10,1",713,"11,1"
Loire,2 191,"14,2",2 056,"13,3",1 933,"12,5",2076,"13,3",1914,"12,3",1821,"11,6",1793,"11,4"
Haute-Loire,523,"12,6",474,"11,4",467,"11,1",452,"10,8",476,"11,3",461,"10,8",438,"10,2"
Loire-Atlantique,4 048,"12,4",3 806,"11,7",3 825,"11,9",4123,"13,0",3829,"12,1",3601,"11,5",3531,"11,4"
Loiret,2 289,"16,1",2 041,"14,3",2 031,"14,2",2222,"15,4",2219,"15,5",2081,"14,5",2084,"14,4"
Lot,477,"16,8",468,"16,4",452,"15,7",497,"17,3",475,"16,5",440,"15,0",450,"15,2"
Lot-et-Garonne,1 093,"18,2",954,"15,8",1 006,"16,6",1053,"17,2",1041,"16,8",1010,"16,2",997,"15,8"
Lozère,178,"13,1",183,"13,3",210,"15,2",189,"13,3",166,"11,6",201,"14,0",193,"13,3"
Maine-et-Loire,1 880,"10,7",1 770,"10,1",1 758,"10,0",1866,"10,8",1701,"9,8",1607,"9,2",1704,"9,7"
Manche,998,"11,2",886,"9,8",955,"10,5",1016,"11,2",934,"10,1",906,"9,7",901,"9,5"
Marne,1 748,"14,4",1 558,"12,7",1 562,"12,7",1682,"13,6",1532,"12,3",1513,"12,1",1593,"12,5"
Haute-Marne,411,"13,6",422,"13,8",396,"12,7",424,"13,6",382,"11,8",364,"11,1",384,"11,5"
Mayenne,581,"9,9",521,"8,9",507,"8,6",571,"9,7",579,"9,7",565,"9,4",578,"9,5"
Meurthe-et-Moselle,2 147,"13,3",1 936,"12,0",1 973,"12,2",2086,"12,9",2060,"12,7",2015,"12,4",2007,"12,2"
Meuse,386,"11,7",349,"10,4",325,"9,5",418,"12,1",406,"11,5",419,"11,6",424,"11,4"
Morbihan,1 935,"13,6",1 779,"12,5",1 704,"12,0",1794,"12,7",1712,"12,1",1634,"11,5",1590,"11,1"
Moselle,2 733,"12,6",2 601,"12,0",2 640,"12,1",2983,"13,8",2795,"12,8",2660,"12,1",2856,"12,9"
Nièvre,391,"11,8",410,"12,2",363,"10,7",494,"14,6",482,"14,0",481,"13,7",473,"13,1"
Nord,8 605,"14,5",7 937,"13,4",7 971,"13,4",8555,"14,4",8304,"14,0",8175,"13,7",8028,"13,4"
Oise,2 661,"14,8",2 390,"13,3",2 424,"13,5",2574,"14,3",2395,"13,2",2499,"13,8",2476,"13,6"
Orne,578,"11,9",503,"10,2",551,"11,0",637,"12,7",599,"11,8",518,"10,0",530,"10,0"
Pas-de-Calais,4 167,"13,7",3 865,"12,6",3 826,"12,4",4274,"13,9",3988,"12,8",3711,"11,9",4022,"12,7"
Puy-de-Dôme,1 937,"13,8",1 755,"12,5",1 666,"11,9",1774,"12,8",1724,"12,4",1673,"12,0",1682,"12,1"
Pyrénées-Atlantiques,1 974,"14,6",1 754,"12,9",1 740,"12,8",1833,"13,6",1742,"12,9",1700,"12,5",1749,"12,8"
Hautes-Pyrénées,598,"14,4",544,"13,1",561,"13,4",677,"16,5",624,"15,2",591,"14,2",598,"14,2"
Pyrénées-Orientales,2 009,"21,7",1 838,"19,9",1 751,"19,0",1933,"21,2",1879,"20,2",1782,"19,1",1858,"19,9"
Bas-Rhin,2 886,"11,2",2 676,"10,4",2 718,"10,6",2924,"11,5",2865,"11,3",2795,"10,9",2744,"10,7"
Haut-Rhin,1 898,"12,1",1 778,"11,3",1 809,"11,4",1958,"12,2",1880,"11,7",1774,"11,0",1809,"11,0"
Rhône,6 811,"14,8",6 208,"13,6",6 398,"14,1",6629,"14,8",6467,"14,4",6221,"13,9",6053,"13,5"
Haute-Saône,614,"14,1",577,"13,1",555,"12,5",577,"13,0",570,"12,7",537,"11,9",565,"12,3"
Saône-et-Loire,1 191,"12,2",1 146,"11,6",1 164,"11,7",1242,"12,5",1129,"11,1",1127,"11,0",1062,"10,2"
Sarthe,1 381,"12,3",1 297,"11,5",1 321,"11,7",1448,"12,9",1262,"11,2",1144,"10,0",1233,"10,6"
Savoie,1 290,"14,3",1 247,"13,8",1 218,"13,5",1324,"14,8",1251,"13,9",1188,"13,2",1263,"13,9"
Haute-Savoie,2 939,"15,6",2 613,"14,0",2 656,"14,3",2731,"14,8",2642,"14,2",2546,"13,8",2358,"12,7"
Paris,9 149,"16,1",8 727,"15,2",8 875,"15,4",9701,"16,6",9906,"17,0",10069,"17,1",9544,"16,1"
Seine-Maritime,3 719,"14,0",3 398,"12,7",3 426,"12,8",3683,"13,8",3619,"13,4",3588,"13,1",3499,"12,7"
Seine-et-Marne,6 596,"19,8",6 234,"18,8",6 142,"18,5",6435,"19,4",6394,"19,1",6237,"18,7",5842,"17,5"
Yvelines,4 554,"14,0",4 471,"13,8",4 332,"13,4",4844,"15,0",4544,"14,1",4310,"13,3",4341,"13,4"
Deux-Sèvres,856,"12,2",763,"10,8",773,"10,9",744,"10,5",760,"10,5",652,"9,0",659,"9,0"
Somme,1 734,"14,3",1 472,"12,0",1 482,"12,0",1601,"12,9",1590,"12,8",1474,"11,8",1566,"12,5"
Tarn,1 179,"16,2",1 110,"15,2",1 052,"14,3",1152,"15,6",1111,"15,0",1017,"13,7",1062,"14,1"
Tarn-et-Garonne,900,"17,4",825,"16,0",780,"15,1",883,"17,1",924,"17,9",862,"16,7",848,"16,5"
Var,4 816,"23,5",4 490,"21,9",4 296,"21,0",4900,"24,1",4646,"22,7",4158,"20,2",4104,"19,9"
Vaucluse,2 312,"20,8",2 134,"19,1",2 202,"19,6",2342,"20,7",2249,"19,5",2178,"18,8",2247,"19,3"
Vendée,1 412,"10,9",1 311,"10,1",1 290,"10,0",1323,"10,3",1300,"10,2",1228,"9,6",1193,"9,2"
Vienne,1 158,"12,4",1 007,"10,8",1 008,"10,8",1119,"12,0",983,"10,5",976,"10,4",1073,"11,5"
Haute-Vienne,1 097,"14,8",1 057,"14,2",959,"12,8",1009,"13,5",944,"12,5",887,"11,7",910,"11,8"
Vosges,957,"14,6",822,"12,4",835,"12,4",985,"14,6",912,"13,3",918,"13,1",848,"11,9"
Yonne,974,"16,1",880,"14,4",877,"14,1",1029,"16,5",993,"15,5",975,"15,0",910,"13,9"
Territoire de Belfort,421,"15,3",406,"14,5",396,"14,0",443,"15,3",412,"13,9",415,"13,9",405,"13,3"
Essonne,5 850,"19,6",5 463,"18,3",5 433,"18,2",6212,"20,5",5895,"19,3",5946,"19,6",5690,"18,8"
Hauts-de-Seine,6 026,"14,9",5 527,"13,7",5 772,"14,4",6061,"15,1",5893,"14,7",6055,"15,1",6015,"14,9"
Seine-Saint-Denis,9 195,"22,4",9 091,"22,3",8 590,"21,2",9312,"22,8",8973,"22,3",9264,"23,2",8578,"21,6"
Val-de-Marne,6 635,"19,4",6 262,"18,4",6 100,"17,9",6759,"19,9",6296,"18,6",6107,"18,1",5734,"16,9"
Val-d'Oise,5 904,"19,9",5 564,"18,8",5 615,"19,1",5939,"20,2",5802,"19,7",5401,"18,4",5303,"18,0"
