,,Zone géographique,2022,2021,2020,2021,2020,2019,2018,2017,2016
,,Ain,"0,27","0,23","0,23","0,23","0,24","0,24","0,21","0,21","0,22"
,,Aisne,"0,29","0,28","0,27","0,28","0,29","0,29","0,28","0,27","0,28"
,,Allier,"0,34","0,32","0,32","0,31","0,35","0,30","0,31","0,29","0,30"
,,Alpes-de-Haute-Provence,"0,45","0,39","0,42","0,42","0,44","0,46","0,45","0,43","0,50"
,,Hautes-Alpes,"0,40","0,39","0,43","0,42","0,44","0,41","0,43","0,39","0,76"
,,Alpes-Maritimes,"0,47","0,42","0,42","0,42","0,44","0,43","0,41","0,40","0,39"
,,Ardèche,"0,33","0,31","0,34","0,34","0,33","0,32","0,32","0,28","0,37"
,,Ardennes,"0,29","0,27","0,24","0,26","0,28","0,24","0,20","0,23","0,22"
,,Ariège,"0,46","0,43","0,43","0,47","0,46","0,43","0,36","0,37","0,50"
,,Aube,"0,32","0,30","0,31","0,33","0,30","0,30","0,30","0,29","0,28"
,,Aude,"0,44","0,40","0,39","0,40","0,41","0,43","0,43","0,41","0,40"
,,Aveyron,"0,32","0,26","0,29","0,29","0,28","0,32","0,29","0,27","0,26"
,,Bouches-du-Rhône,"0,41","0,38","0,38","0,39","0,39","0,41","0,39","0,38","0,38"
,,Calvados,"0,28","0,23","0,25","0,25","0,24","0,27","0,26","0,25","0,24"
,,Cantal,"0,32","0,28","0,31","0,32","0,29","0,28","0,28","0,29","0,29"
,,Charente,"0,37","0,30","0,34","0,36","0,32","0,34","0,32","0,31","0,29"
,,Charente-Maritime,"0,35","0,33","0,29","0,29","0,36","0,34","0,32","0,31","0,29"
,,Cher,"0,30","0,29","0,27","0,28","0,31","0,29","0,29","0,26","0,25"
,,Corrèze,"0,34","0,34","0,33","0,35","0,35","0,31","0,30","0,28","0,27"
,,Corse-du-Sud,"0,46","0,40","0,45","0,48","0,43","0,46","0,44","0,39","0,38"
,,Haute-Corse,"0,42","0,41","0,42","0,44","0,43","0,50","0,43","0,44","0,45"
,,Côte-d'Or,"0,28","0,28","0,24","0,26","0,27","0,28","0,26","0,24","0,24"
,,Côtes-d'Armor,"0,32","0,27","0,29","0,28","0,29","0,30","0,26","0,26","0,26"
,,Creuse,"0,32","0,28","0,29","0,30","0,30","0,24","0,25","0,24","0,24"
,,Dordogne,"0,39","0,35","0,40","0,40","0,37","0,39","0,39","0,35","0,35"
,,Doubs,"0,30","0,27","0,26","0,27","0,28","0,27","0,24","0,23","0,22"
,,Drôme,"0,31","0,28","0,29","0,30","0,29","0,27","0,27","0,25","0,25"
,,Eure,"0,29","0,26","0,28","0,29","0,27","0,29","0,27","0,27","0,25"
,,Eure-et-Loir,"0,30","0,25","0,27","0,28","0,26","0,31","0,27","0,27","0,25"
,,Finistère,"0,28","0,25","0,26","0,26","0,26","0,26","0,25","0,22","0,22"
,,Gard,"0,37","0,34","0,35","0,36","0,35","0,35","0,35","0,32","0,31"
,,Haute-Garonne,"0,35","0,32","0,33","0,34","0,33","0,35","0,32","0,31","0,31"
,,Gers,"0,30","0,28","0,27","0,27","0,30","0,31","0,30","0,29","0,27"
,,Gironde,"0,35","0,31","0,32","0,32","0,33","0,34","0,33","0,32","0,32"
,,Hérault,"0,40","0,37","0,37","0,37","0,38","0,38","0,37","0,36","0,35"
,,Ille-et-Vilaine,"0,26","0,22","0,24","0,24","0,23","0,24","0,24","0,22","0,22"
,,Indre,"0,33","0,27","0,28","0,29","0,29","0,30","0,27","0,27","0,26"
,,Indre-et-Loire,"0,28","0,23","0,24","0,24","0,24","0,24","0,24","0,21","0,20"
,,Isère,"0,28","0,25","0,26","0,27","0,25","0,27","0,26","0,23","0,23"
,,Jura,"0,28","0,27","0,27","0,28","0,27","0,25","0,25","0,23","0,22"
,,Landes,"0,34","0,30","0,31","0,32","0,31","0,31","0,31","0,29","0,28"
,,Loir-et-Cher,"0,27","0,23","0,23","0,24","0,24","0,25","0,23","0,21","0,20"
,,Loire,"0,27","0,26","0,24","0,25","0,26","0,25","0,23","0,22","0,21"
,,Haute-Loire,"0,29","0,24","0,25","0,25","0,25","0,23","0,23","0,23","0,23"
,,Loire-Atlantique,"0,25","0,23","0,24","0,24","0,25","0,25","0,24","0,22","0,22"
,,Loiret,"0,30","0,27","0,27","0,28","0,27","0,28","0,28","0,27","0,26"
,,Lot,"0,41","0,37","0,37","0,38","0,39","0,40","0,36","0,35","0,34"
,,Lot-et-Garonne,"0,38","0,33","0,35","0,36","0,34","0,35","0,35","0,34","0,33"
,,Lozère,"0,31","0,30","0,40","0,38","0,35","0,33","0,29","0,34","0,30"
,,Maine-et-Loire,"0,22","0,20","0,21","0,21","0,22","0,22","0,19","0,18","0,18"
,,Manche,"0,23","0,20","0,22","0,22","0,21","0,23","0,22","0,20","0,20"
,,Marne,"0,31","0,26","0,27","0,28","0,29","0,28","0,25","0,25","0,24"
,,Haute-Marne,"0,31","0,29","0,29","0,29","0,32","0,30","0,25","0,23","0,23"
,,Mayenne,"0,19","0,17","0,17","0,18","0,18","0,19","0,19","0,19","0,18"
,,Meurthe-et-Moselle,"0,33","0,29","0,29","0,30","0,29","0,30","0,29","0,27","0,26"
,,Meuse,"0,26","0,22","0,21","0,22","0,24","0,27","0,25","0,24","0,24"
,,Morbihan,"0,29","0,26","0,26","0,26","0,28","0,27","0,26","0,24","0,23"
,,Moselle,"0,29","0,27","0,27","0,28","0,28","0,29","0,27","0,25","0,25"
,,Nièvre,"0,26","0,27","0,24","0,25","0,24","0,32","0,29","0,30","0,28"
,,Nord,"0,30","0,26","0,26","0,27","0,27","0,28","0,26","0,25","0,24"
,,Oise,"0,29","0,26","0,26","0,27","0,27","0,27","0,25","0,25","0,25"
,,Orne,"0,24","0,22","0,24","0,25","0,22","0,27","0,25","0,21","0,20"
,,Pas-de-Calais,"0,28","0,25","0,25","0,26","0,26","0,27","0,26","0,22","0,22"
,,Puy-de-Dôme,"0,32","0,28","0,27","0,27","0,29","0,28","0,26","0,26","0,26"
,,Pyrénées-Atlantiques,"0,34","0,29","0,29","0,30","0,30","0,31","0,30","0,28","0,27"
,,Hautes-Pyrénées,"0,34","0,30","0,30","0,33","0,31","0,37","0,35","0,31","0,31"
,,Pyrénées-Orientales,"0,47","0,41","0,40","0,40","0,44","0,45","0,43","0,40","0,40"
,,Bas-Rhin,"0,26","0,23","0,23","0,24","0,23","0,24","0,24","0,23","0,22"
,,Haut-Rhin,"0,26","0,24","0,24","0,25","0,24","0,25","0,23","0,22","0,21"
,,Rhône,"0,30","0,26","0,26","0,27","0,26","0,26","0,25","0,24","0,24"
,,Haute-Saône,"0,32","0,29","0,28","0,30","0,31","0,28","0,27","0,24","0,24"
,,Saône-et-Loire,"0,26","0,24","0,25","0,25","0,25","0,26","0,23","0,23","0,22"
,,Sarthe,"0,25","0,23","0,24","0,24","0,24","0,25","0,22","0,20","0,19"
,,Savoie,"0,31","0,28","0,29","0,29","0,31","0,30","0,28","0,27","0,26"
,,Haute-Savoie,"0,31","0,27","0,27","0,27","0,27","0,28","0,27","0,27","0,26"
,,Paris,"0,39","0,34","0,34","0,35","0,34","0,35","0,36","0,37","0,34"
,,Seine-Maritime,"0,27","0,25","0,25","0,26","0,26","0,26","0,26","0,25","0,24"
,,Seine-et-Marne,"0,36","0,34","0,34","0,34","0,36","0,35","0,35","0,33","0,33"
,,Yvelines,"0,26","0,24","0,24","0,24","0,25","0,26","0,24","0,23","0,23"
,,Deux-Sèvres,"0,27","0,23","0,25","0,24","0,25","0,22","0,22","0,19","0,18"
,,Somme,"0,31","0,27","0,27","0,28","0,28","0,29","0,28","0,25","0,24"
,,Tarn,"0,36","0,33","0,33","0,33","0,36","0,34","0,34","0,30","0,28"
,,Tarn-et-Garonne,"0,35","0,31","0,32","0,30","0,34","0,35","0,36","0,32","0,32"
,,Var,"0,45","0,43","0,42","0,43","0,46","0,47","0,45","0,40","0,39"
,,Vaucluse,"0,38","0,34","0,35","0,37","0,35","0,37","0,35","0,34","0,33"
,,Vendée,"0,24","0,22","0,22","0,22","0,23","0,22","0,21","0,20","0,19"
,,Vienne,"0,29","0,25","0,25","0,26","0,26","0,27","0,24","0,23","0,23"
,,Haute-Vienne,"0,33","0,34","0,29","0,31","0,33","0,30","0,28","0,26","0,26"
,,Vosges,"0,33","0,27","0,28","0,28","0,28","0,32","0,28","0,28","0,28"
,,Yonne,"0,33","0,30","0,28","0,31","0,29","0,32","0,31","0,31","0,29"
,,Territoire de Belfort,"0,31","0,31","0,29","0,31","0,34","0,31","0,27","0,27","0,26"
,,Essonne,"0,32","0,30","0,30","0,32","0,32","0,34","0,32","0,32","0,32"
,,Hauts-de-Seine,"0,29","0,26","0,27","0,28","0,27","0,27","0,26","0,26","0,25"
,,Seine-Saint-Denis,"0,35","0,35","0,31","0,34","0,32","0,33","0,31","0,32","0,29"
,,Val-de-Marne,"0,35","0,32","0,31","0,32","0,33","0,33","0,31","0,29","0,29"
,,Val-d'Oise,"0,31","0,29","0,30","0,30","0,30","0,30","0,30","0,27","0,27"
,,Total métropole,"0,32","0,29","0,29","0,30","0,30","0,31","0,29","0,28","0,27"
,,Guadeloupe,"0,80","0,78","0,68","0,75","0,74","0,71","0,78","0,74","0,65"
,,Martinique,"0,64","0,58","0,56","0,56","0,59","0,56","0,58","0,58","0,56"
,,Guyane,"0,48","0,39","0,39","0,40","0,41","0,36","0,33","0,29","0,32"
,,La Réunion,"0,36","0,33","0,33","0,33","0,35","0,34","0,34","0,32","0,32"
,,Mayotte,"0,16","0,14","0,16","0,15","0,16","0,15","0,17","0,17","0,17"
,,total DROM,"0,40","0,36","0,37","0,36","0,39","0,36","0,37","0,34","0,34"
,,France entière,"0,32","0,29","0,30","0,30","0,30","0,31","0,30","0,28","0,28"
,,Auvergne -  Rhône-Alpes,"0,30","0,26","0,27","0,27","0,27","0,27","0,26","0,24","0,25"
,,Bourgogne -  Franche-Comté,"0,29","0,27","0,26","0,27","0,27","0,28","0,26","0,25","0,24"
,,Bretagne,"0,28","0,25","0,26","0,25","0,26","0,26","0,25","0,23","0,23"
,,Centre -  Val de Loire,"0,29","0,26","0,26","0,26","0,26","0,28","0,27","0,25","0,24"
,,Corse,"0,44","0,41","0,44","0,45","0,43","0,48","0,44","0,42","0,42"
,,Grand Est,"0,29","0,26","0,26","0,27","0,27","0,27","0,26","0,25","0,24"
,,Hauts-de-France,"0,29","0,26","0,26","0,27","0,27","0,28","0,26","0,25","0,24"
,,Ile-de-France,"0,33","0,31","0,30","0,31","0,31","0,32","0,31","0,30","0,29"
,,Normandie,"0,27","0,24","0,25","0,26","0,25","0,27","0,25","0,25","0,24"
,,Nouvelle-Aquitaine,"0,34","0,31","0,31","0,31","0,32","0,32","0,31","0,30","0,29"
,,Occitanie,"0,38","0,34","0,35","0,35","0,36","0,37","0,35","0,33","0,33"
,,Pays de la Loire,"0,24","0,22","0,22","0,22","0,23","0,24","0,22","0,20","0,20"
,,Provence - Alpes - Côte d'Azur,"0,43","0,39","0,40","0,40","0,41","0,42","0,41","0,38","0,39"
